Dates,2019,2020,2021
2021-01-01,4,1,5
2021-01-02,6,2,17
2021-01-03,5,1,5
2021-01-04,7,0,7
2021-01-05,0,3,9
2021-01-06,1,4,10
2021-01-07,13,4,7
2021-01-08,24,6,15
2021-01-09,27,6,2
2021-01-10,7,4,4
2021-01-11,7,2,8
2021-01-12,1,1,6
2021-01-13,0,12,8
2021-01-14,10,4,6
2021-01-15,19,7,12
2021-01-16,11,7,1
2021-01-17,8,0,11
2021-01-18,4,0,15
2021-01-19,2,3,15
2021-01-20,1,1,10
2021-01-21,9,3,15
2021-01-22,8,9,13
2021-01-23,9,26,8
2021-01-24,9,12,7
2021-01-25,9,0,10
2021-01-26,1,2,16
2021-01-27,2,15,10
2021-01-28,6,9,6
2021-01-29,14,26,10
2021-01-30,2,15,1
2021-01-31,6,4,0
2021-02-01,6,6,4
2021-02-02,3,1,4
2021-02-03,0,7,4
2021-02-04,18,9,15
2021-02-05,15,7,10
2021-02-06,17,8,5
2021-02-07,11,13,1
2021-02-08,8,0,7
2021-02-09,4,0,28
2021-02-10,3,9,12
2021-02-11,9,10,20
2021-02-12,4,18,10
2021-02-13,13,9,4
2021-02-14,15,6,5
2021-02-15,11,0,11
2021-02-16,6,1,9
2021-02-17,3,3,15
2021-02-18,5,2,8
2021-02-19,13,2,4
2021-02-20,3,6,4
2021-02-21,14,12,3
2021-02-22,10,4,13
2021-02-23,3,2,8
2021-02-24,6,28,17
2021-02-25,5,14,13
2021-02-26,13,11,4
2021-02-27,19,12,2
2021-02-28,34,8,5
2021-03-01,20,10,13
2021-03-02,2,21,7
2021-03-03,2,6,19
2021-03-04,20,5,17
2021-03-05,9,6,28
2021-03-06,16,3,9
2021-03-07,19,1,5
2021-03-08,16,3,18
2021-03-09,0,3,13
2021-03-10,2,6,15
2021-03-11,15,15,12
2021-03-12,3,8,6
2021-03-13,11,6,3
2021-03-14,13,4,5
2021-03-15,24,3,17
2021-03-16,3,2,15
2021-03-17,1,5,11
2021-03-18,18,9,8
2021-03-19,19,13,15
2021-03-20,19,5,3
2021-03-21,12,2,6
2021-03-22,10,4,16
2021-03-23,2,10,4
2021-03-24,5,14,6
2021-03-25,20,16,6
2021-03-26,11,13,2
2021-03-27,7,10,2
2021-03-28,12,4,0
2021-03-29,6,5,7
2021-03-30,0,16,15
2021-03-31,0,6,7
2021-04-01,2,11,4
2021-04-02,19,21,8
2021-04-03,13,15,1
2021-04-04,12,7,2
2021-04-05,10,7,3
2021-04-06,2,12,5
2021-04-07,5,18,12
2021-04-08,6,7,3
2021-04-09,12,10,8
2021-04-10,15,5,3
2021-04-11,12,21,6
2021-04-12,11,5,7
2021-04-13,3,16,7
2021-04-14,0,14,11
2021-04-15,12,14,18
2021-04-16,2,3,12
2021-04-17,8,12,3
2021-04-18,10,10,6
2021-04-19,8,0,14
2021-04-20,2,10,8
2021-04-21,1,15,13
2021-04-22,15,17,10
2021-04-23,27,15,12
2021-04-24,44,9,0
2021-04-25,20,3,7
2021-04-26,14,4,5
2021-04-27,2,8,9
2021-04-28,2,6,8
2021-04-29,10,4,11
2021-04-30,17,5,9
2021-05-01,7,11,0
2021-05-02,9,5,0
2021-05-03,7,5,8
2021-05-04,2,11,15
2021-05-05,1,10,10
2021-05-06,6,9,3
2021-05-07,6,6,7
2021-05-08,12,11,0
2021-05-09,8,12,4
2021-05-10,12,4,8
2021-05-11,3,13,7
2021-05-12,10,14,11
2021-05-13,12,8,9
2021-05-14,6,18,7
2021-05-15,10,21,3
2021-05-16,10,8,2
2021-05-17,13,9,28
2021-05-18,29,11,15
2021-05-19,9,19,11
2021-05-20,20,13,22
2021-05-21,15,8,25
2021-05-22,29,17,5
2021-05-23,24,2,7
2021-05-24,23,2,29
2021-05-25,13,10,15
2021-05-26,0,12,15
2021-05-27,4,10,16
2021-05-28,20,6,16
2021-05-29,23,14,6
2021-05-30,17,3,5
2021-05-31,10,2,8
2021-06-01,3,3,20
2021-06-02,4,15,9
2021-06-03,15,7,10
2021-06-04,13,3,20
2021-06-05,15,10,6
2021-06-06,15,2,9
2021-06-07,8,0,22
2021-06-08,3,5,20
2021-06-09,3,8,38
2021-06-10,4,8,25
2021-06-11,8,7,39
2021-06-12,9,6,13
2021-06-13,8,4,12
2021-06-14,12,0,18
2021-06-15,3,4,14
2021-06-16,3,6,13
2021-06-17,12,12,26
2021-06-18,10,10,15
2021-06-19,6,5,3
2021-06-20,19,3,2
2021-06-21,11,3,38
2021-06-22,7,12,14
2021-06-23,0,18,13
2021-06-24,18,6,6
2021-06-25,14,17,15
2021-06-26,8,5,7
2021-06-27,23,0,2
2021-06-28,10,1,12
2021-06-29,2,6,17
2021-06-30,9,10,17
2021-07-01,8,15,24
2021-07-02,4,16,18
2021-07-03,25,5,5
2021-07-04,11,3,3
2021-07-05,6,2,6
2021-07-06,5,13,3
2021-07-07,3,6,10
2021-07-08,2,4,7
2021-07-09,10,3,11
2021-07-10,16,8,3
2021-07-11,16,2,1
2021-07-12,26,1,8
2021-07-13,4,13,11
2021-07-14,6,2,9
2021-07-15,14,5,17
2021-07-16,22,7,11
2021-07-17,22,6,0
2021-07-18,21,18,0
2021-07-19,12,3,3
2021-07-20,3,7,11
2021-07-21,0,10,4
2021-07-22,11,1,10
2021-07-23,9,5,8
