Dates,2019,2020,2021,Differences
2021-01-01,92,308,256,-52
2021-01-02,227,580,511,-69
2021-01-03,351,496,466,-30
2021-01-04,351,418,731,313
2021-01-05,176,329,918,589
2021-01-06,131,468,797,329
2021-01-07,436,658,902,244
2021-01-08,522,581,976,395
2021-01-09,771,644,351,-293
2021-01-10,601,659,383,-276
2021-01-11,447,486,1098,612
2021-01-12,187,316,899,583
2021-01-13,149,844,851,7
2021-01-14,475,643,864,221
2021-01-15,514,649,880,231
2021-01-16,359,861,465,-396
2021-01-17,440,844,510,-334
2021-01-18,351,286,968,682
2021-01-19,214,305,1232,927
2021-01-20,172,485,937,452
2021-01-21,328,674,1070,396
2021-01-22,340,721,1197,476
2021-01-23,412,650,534,-116
2021-01-24,372,632,561,-71
2021-01-25,397,289,1065,776
2021-01-26,169,313,999,686
2021-01-27,176,786,1609,823
2021-01-28,411,977,852,-125
2021-01-29,377,925,985,60
2021-01-30,440,890,312,-578
2021-01-31,258,499,414,-85
2021-02-01,366,394,832,438
2021-02-02,224,333,816,483
2021-02-03,109,713,962,249
2021-02-04,548,760,1020,260
2021-02-05,413,653,811,158
2021-02-06,500,724,465,-259
2021-02-07,330,891,361,-530
2021-02-08,362,267,974,707
2021-02-09,118,309,1305,996
2021-02-10,180,780,1041,261
2021-02-11,277,840,1222,382
2021-02-12,410,1119,899,-220
2021-02-13,606,658,471,-187
2021-02-14,502,769,483,-286
2021-02-15,420,358,802,444
2021-02-16,173,269,908,639
2021-02-17,138,517,877,360
2021-02-18,343,641,844,203
2021-02-19,433,630,695,65
2021-02-20,386,682,503,-179
2021-02-21,403,849,506,-343
2021-02-22,516,456,920,464
2021-02-23,149,339,1083,744
2021-02-24,225,839,1154,315
2021-02-25,434,1094,1000,-94
2021-02-26,319,932,734,-198
2021-02-27,461,901,493,-408
2021-02-28,491,678,523,-155
2021-03-01,505,447,1119,672
2021-03-02,124,833,965,132
2021-03-03,187,692,1150,458
2021-03-04,382,648,1150,502
2021-03-05,445,633,1225,592
2021-03-06,496,554,638,84
2021-03-07,388,303,543,240
2021-03-08,453,351,1095,744
2021-03-09,137,594,937,343
2021-03-10,115,784,987,203
2021-03-11,560,735,1040,305
2021-03-12,371,638,943,305
2021-03-13,463,575,699,124
2021-03-14,566,365,585,220
2021-03-15,785,365,1224,859
2021-03-16,294,483,1155,672
2021-03-17,190,698,974,276
2021-03-18,671,748,916,168
2021-03-19,732,878,1032,154
2021-03-20,569,561,429,-132
2021-03-21,444,270,540,270
2021-03-22,424,335,1092,757
2021-03-23,128,642,1124,482
2021-03-24,218,891,870,-21
2021-03-25,827,801,1473,672
2021-03-26,573,837,695,-142
2021-03-27,604,697,385,-312
2021-03-28,473,497,344,-153
2021-03-29,487,450,936,486
2021-03-30,179,926,842,-84
2021-03-31,175,742,851,109
2021-04-01,462,775,834,59
2021-04-02,979,1096,882,-214
2021-04-03,907,888,406,-482
2021-04-04,718,798,503,-295
2021-04-05,590,435,626,191
2021-04-06,126,1148,916,-232
2021-04-07,327,1133,1393,260
2021-04-08,427,879,909,30
2021-04-09,578,788,905,117
2021-04-10,581,854,451,-403
2021-04-11,543,658,517,-141
2021-04-12,730,476,978,502
2021-04-13,209,868,1041,173
2021-04-14,179,949,943,-6
2021-04-15,612,990,1054,64
2021-04-16,803,879,1072,193
2021-04-17,480,939,505,-434
2021-04-18,580,738,1007,269
2021-04-19,495,490,1166,676
2021-04-20,162,1029,960,-69
2021-04-21,161,1366,999,-367
2021-04-22,513,1130,1013,-117
2021-04-23,726,1241,1000,-241
2021-04-24,820,956,354,-602
2021-04-25,708,517,516,-1
2021-04-26,544,479,810,331
2021-04-27,131,996,738,-258
2021-04-28,199,948,984,36
2021-04-29,595,843,972,129
2021-04-30,666,979,1020,41
2021-05-01,414,733,400,-333
2021-05-02,578,590,432,-158
2021-05-03,473,626,771,145
2021-05-04,284,1035,1470,435
2021-05-05,170,932,898,-34
2021-05-06,479,1144,1039,-105
2021-05-07,453,1008,807,-201
2021-05-08,475,882,403,-479
2021-05-09,404,765,428,-337
2021-05-10,476,652,1294,642
2021-05-11,297,1227,2881,1654
2021-05-12,168,1072,1185,113
2021-05-13,514,1043,722,-321
2021-05-14,577,1270,765,-505
2021-05-15,607,1226,444,-782
2021-05-16,708,731,485,-246
2021-05-17,806,692,1056,364
2021-05-18,367,1127,1166,39
2021-05-19,292,1283,906,-377
2021-05-20,731,233,1213,980
2021-05-21,637,1185,1019,-166
2021-05-22,911,1078,545,-533
2021-05-23,776,611,519,-92
2021-05-24,809,575,1079,504
2021-05-25,353,1018,1066,48
2021-05-26,141,1034,959,-75
2021-05-27,457,1010,1140,130
2021-05-28,518,838,972,134
2021-05-29,798,1083,632,-451
2021-05-30,613,435,632,197
2021-05-31,464,452,1037,585
2021-06-01,190,838,1139,301
2021-06-02,182,1155,1183,28
2021-06-03,834,1000,1104,104
2021-06-04,560,920,1145,225
2021-06-05,695,864,766,-98
2021-06-06,849,566,566,0
2021-06-07,583,514,1211,697
2021-06-08,160,1133,1437,304
2021-06-09,236,1212,1204,-8
2021-06-10,525,1228,1088,-140
2021-06-11,669,980,1107,127
2021-06-12,506,1023,373,-650
2021-06-13,585,531,538,7
2021-06-14,901,511,1000,489
2021-06-15,286,1025,891,-134
2021-06-16,198,973,2150,1177
2021-06-17,501,1227,1074,-153
2021-06-18,580,806,985,179
2021-06-19,615,876,396,-480
2021-06-20,636,617,446,-171
2021-06-21,450,501,1085,584
2021-06-22,157,1316,966,-350
2021-06-23,144,1165,996,-169
2021-06-24,475,1064,761,-303
2021-06-25,715,1226,915,-311
2021-06-26,640,991,374,-617
2021-06-27,647,511,350,-161
2021-06-28,388,509,1060,551
2021-06-29,243,906,796,-110
2021-06-30,322,1029,909,-120
2021-07-01,421,914,1012,98
2021-07-02,549,912,1328,416
2021-07-03,662,760,376,-384
2021-07-04,632,533,362,-171
2021-07-05,588,493,663,170
2021-07-06,199,958,609,-349
2021-07-07,193,895,737,-158
2021-07-08,431,890,1013,123
2021-07-09,593,944,887,-57
2021-07-10,628,1068,420,-648
2021-07-11,705,477,342,-135
2021-07-12,701,470,956,486
2021-07-13,250,981,942,-39
2021-07-14,185,903,877,-26
2021-07-15,696,1176,871,-305
2021-07-16,679,939,1012,73
2021-07-17,692,754,377,-377
2021-07-18,667,614,438,-176
2021-07-19,699,462,804,342
2021-07-20,201,967,812,-155
2021-07-21,191,1014,802,-212
2021-07-22,534,953,919,-34
2021-07-23,580,798,1071,273
2021-07-24,599,799,383,-416
2021-07-25,545,462,386,-76
2021-07-26,438,452,927,475
2021-07-27,153,1221,791,-430
2021-07-28,218,1226,931,-295
2021-07-29,513,1311,924,-387
2021-07-30,473,1074,732,-342
2021-07-31,492,938,295,-643
2021-08-01,520,443,461,18
2021-08-02,430,437,822,385
2021-08-03,201,1025,830,-195
2021-08-04,236,949,878,-71
2021-08-05,512,854,740,-114
2021-08-06,617,762,788,26
2021-08-07,485,866,463,-403
2021-08-08,582,425,452,27
2021-08-09,502,448,886,438
2021-08-10,272,851,834,-17
2021-08-11,275,964,806,-158
2021-08-12,558,888,856,-32
2021-08-13,627,983,695,-288
2021-08-14,586,919,319,-600
2021-08-15,507,524,374,-150
2021-08-16,443,758,743,-15
2021-08-17,190,1396,1314,-82
2021-08-18,266,1297,901,-396
2021-08-19,383,954,845,-109
2021-08-20,393,760,652,-108
2021-08-21,520,648,335,-313
2021-08-22,796,506,323,-183
2021-08-23,450,425,770,345
2021-08-24,145,918,806,-112
2021-08-25,121,994,900,-94
2021-08-26,423,946,808,-138
2021-08-27,554,1114,834,-280
2021-08-28,608,885,457,-428
2021-08-29,616,356,453,97
2021-08-30,724,362,748,386
2021-08-31,166,803,981,178
2021-09-01,163,811,910,99
2021-09-02,364,934,843,-91
2021-09-03,505,921,723,-198
2021-09-04,515,957,288,-669
2021-09-05,428,462,432,-30
2021-09-06,443,534,738,204
2021-09-07,224,832,845,13
2021-09-08,268,1132,938,-194
2021-09-09,599,955,795,-160
2021-09-10,720,824,803,-21
2021-09-11,706,793,323,-470
2021-09-12,605,394,303,-91
2021-09-13,488,454,996,542
2021-09-14,259,883,1063,180
2021-09-15,152,1084,885,-199
2021-09-16,632,868,890,22
2021-09-17,536,976,712,-264
2021-09-18,655,861,269,-592
2021-09-19,842,665,339,-326
2021-09-20,854,459,803,344
2021-09-21,359,920,905,-15
2021-09-22,154,1068,2193,1125
2021-09-23,606,1062,770,-292
2021-09-24,776,788,1294,506
2021-09-25,687,812,534,-278
2021-09-26,678,517,888,371
2021-09-27,740,577,1442,865
2021-09-28,197,1114,860,-254
2021-09-29,258,1102,845,-257
2021-09-30,730,928,823,-105
2021-10-01,535,917,791,-126
2021-10-02,682,1007,353,-654
2021-10-03,698,434,365,-69
2021-10-04,543,573,1015,442
2021-10-05,230,3196,1327,-1869
2021-10-06,214,769,917,148
2021-10-07,558,1080,891,-189
2021-10-08,393,927,709,-218
2021-10-09,577,1125,360,-765
2021-10-10,772,596,328,-268
2021-10-11,569,582,767,185
2021-10-12,290,1010,992,-18
2021-10-13,172,1310,716,-594
2021-10-14,493,998,980,-18
2021-10-15,525,1176,872,-304
2021-10-16,597,1693,350,-1343
2021-10-17,652,555,362,-193
2021-10-18,762,555,1020,465
2021-10-19,334,1210,1187,-23
2021-10-20,200,1507,1086,-421
2021-10-21,642,1122,1037,-85
2021-10-22,838,1105,815,-290
2021-10-23,670,905,1394,489
2021-10-24,670,477,308,-169
2021-10-25,593,621,741,120
2021-10-26,214,1218,924,-294
2021-10-27,239,1194,883,-311
2021-10-28,530,1169,933,-236
2021-10-29,553,1213,752,-461
2021-10-30,503,939,377,-562
2021-10-31,682,450,376,-74
2021-11-01,521,511,702,191
2021-11-02,397,1103,996,-107
2021-11-03,256,1046,1031,-15
2021-11-04,652,1132,854,-278
2021-11-05,592,923,837,-86
2021-11-06,726,1049,485,-564
2021-11-07,509,391,524,133
2021-11-08,461,495,1168,673
2021-11-09,214,894,1108,214
2021-11-10,235,1214,1022,-192
2021-11-11,598,1184,989,-195
2021-11-12,495,854,867,13
2021-11-13,733,864,448,-416
2021-11-14,942,508,522,14
2021-11-15,542,711,887,176
2021-11-16,441,1109,920,-189
2021-11-17,283,983,926,-57
2021-11-18,774,1196,752,-444
2021-11-19,701,1265,880,-385
2021-11-20,685,1063,495,-568
2021-11-21,983,592,385,-207
2021-11-22,850,527,1003,476
2021-11-23,304,1018,430,-588
