date,count
2012-12-01,1
2013-01-01,4
2013-02-01,27
2013-05-01,29
2013-07-01,30
2013-08-01,35
2013-09-01,46
2013-10-01,55
2013-11-01,59
2013-12-01,60
2014-01-01,62
2014-02-01,65
2014-03-01,94
2014-04-01,97
2014-05-01,102
2014-06-01,113
2014-07-01,117
2014-08-01,120
2014-09-01,139
2014-10-01,161
2014-11-01,185
2014-12-01,189
2015-01-01,195
2015-02-01,221
2015-03-01,226
2015-04-01,228
2015-05-01,233
2015-06-01,242
2015-07-01,255
2015-08-01,259
2015-09-01,284
2015-10-01,297
2015-11-01,305
2015-12-01,317
2016-01-01,332
2016-02-01,351
2016-03-01,357
2016-04-01,362
2016-05-01,369
2016-06-01,378
2016-07-01,383
2016-08-01,397
2016-09-01,421
2016-10-01,427
2016-11-01,432
2016-12-01,475
2017-01-01,520
2017-02-01,543
2017-03-01,557
2017-04-01,565
2017-06-01,575
2017-07-01,593
2017-08-01,600
2017-09-01,630
2017-10-01,670
2017-11-01,726
2017-12-01,747
2018-01-01,777
2018-02-01,901
2018-03-01,967
2018-04-01,1151
2018-05-01,1372
2018-06-01,1593
2018-07-01,1798
2018-08-01,1965
2018-09-01,2238
2018-10-01,2597
2018-11-01,3048
2018-12-01,3622
2019-01-01,4021
2019-02-01,4388
2019-03-01,5071
2019-04-01,5725
2019-05-01,6281
2019-06-01,6715
2019-07-01,7308
2019-08-01,7743
2019-09-01,8415
2019-10-01,9435
2019-11-01,10452
2019-12-01,11141
2020-01-01,12053
2020-02-01,13017
2020-03-01,13908
2020-04-01,14944
2020-05-01,15963
2020-06-01,16908
2020-07-01,17754
2020-08-01,18194
2020-09-01,19330
2020-10-01,21287
2020-11-01,23250
2020-12-01,24421
2021-01-01,25599
2021-02-01,27205
2021-03-01,28818
2021-04-01,30486
2021-05-01,31847
2021-06-01,33249
2021-07-01,34135
2021-08-01,35219
2021-09-01,36894
2021-10-01,38583
2021-11-01,41032
2021-12-01,42276
