date,count
2021-12-01,1244
2021-11-01,2449
2021-10-01,1689
2021-09-01,1675
2021-08-01,1084
2021-07-01,886
2021-06-01,1402
2021-05-01,1361
2021-04-01,1668
2021-03-01,1613
2021-02-01,1606
2021-01-01,1178
2020-12-01,1171
2020-11-01,1963
2020-10-01,1957
2020-09-01,1136
2020-08-01,440
2020-07-01,846
2020-06-01,945
2020-05-01,1019
2020-04-01,1036
2020-03-01,891
2020-02-01,964
2020-01-01,912
2019-12-01,689
2019-11-01,1017
2019-10-01,1020
2019-09-01,672
2019-08-01,435
2019-07-01,593
2019-06-01,434
2019-05-01,556
2019-04-01,654
2019-03-01,683
2019-02-01,367
2019-01-01,399
2018-12-01,574
2018-11-01,451
2018-10-01,359
2018-09-01,273
2018-08-01,167
2018-07-01,205
2018-06-01,221
2018-05-01,221
2018-04-01,184
2018-03-01,66
2018-02-01,124
2018-01-01,30
2017-12-01,21
2017-11-01,56
2017-10-01,40
2017-09-01,30
2017-08-01,7
2017-07-01,18
2017-06-01,10
2017-04-01,8
2017-03-01,14
2017-02-01,23
2017-01-01,45
2016-12-01,43
2016-11-01,5
2016-10-01,6
2016-09-01,24
2016-08-01,14
2016-07-01,5
2016-06-01,9
2016-05-01,7
2016-04-01,5
2016-03-01,6
2016-02-01,19
2016-01-01,15
2015-12-01,12
2015-11-01,8
2015-10-01,13
2015-09-01,25
2015-08-01,4
2015-07-01,13
2015-06-01,9
2015-05-01,5
2015-04-01,2
2015-03-01,5
2015-02-01,26
2015-01-01,6
2014-12-01,4
2014-11-01,24
2014-10-01,22
2014-09-01,19
2014-08-01,3
2014-07-01,4
2014-06-01,11
2014-05-01,5
2014-04-01,3
2014-03-01,29
2014-02-01,3
2014-01-01,2
2013-12-01,1
2013-11-01,4
2013-10-01,9
2013-09-01,11
2013-08-01,5
2013-07-01,1
2013-05-01,2
2013-02-01,23
2013-01-01,3
2012-12-01,1
