Day,Count
2019-01-01,194
2019-01-02,336
2019-01-03,477
2019-01-04,754
2019-01-05,429
2019-01-06,297
2019-01-07,701
2019-01-08,728
2019-01-09,951
2019-01-10,785
2019-01-11,848
2019-01-12,439
2019-01-13,316
2019-01-14,637
2019-01-15,721
2019-01-16,501
2019-01-17,573
2019-01-18,529
2019-01-19,370
2019-01-20,324
2019-01-21,600
2019-01-22,528
2019-01-23,680
2019-01-24,566
2019-01-25,848
2019-01-26,330
2019-01-27,388
2019-01-28,573
2019-01-29,529
2019-01-30,648
2019-01-31,438
2019-02-01,508
2019-02-02,572
2019-02-03,224
2019-02-04,703
2019-02-05,538
2019-02-06,672
2019-02-07,572
2019-02-08,614
2019-02-09,338
2019-02-10,333
2019-02-11,416
2019-02-12,617
2019-02-13,775
2019-02-14,827
2019-02-15,875
2019-02-16,351
2019-02-17,265
2019-02-18,560
2019-02-19,652
2019-02-20,563
2019-02-21,675
2019-02-22,734
2019-02-23,388
2019-02-24,575
2019-02-25,639
2019-02-26,495
2019-02-27,672
2019-02-28,590
2019-03-01,709
2019-03-02,250
2019-03-03,359
2019-03-04,568
2019-03-05,618
2019-03-06,584
2019-03-07,466
2019-03-08,731
2019-03-09,294
2019-03-10,202
2019-03-11,655
2019-03-12,419
2019-03-13,664
2019-03-14,751
2019-03-15,884
2019-03-16,681
2019-03-17,312
2019-03-18,793
2019-03-19,853
2019-03-20,764
2019-03-21,517
2019-03-22,543
2019-03-23,348
2019-03-24,358
2019-03-25,990
2019-03-26,634
2019-03-27,724
2019-03-28,583
2019-03-29,643
2019-03-30,250
2019-03-31,233
2019-04-01,572
2019-04-02,1364
2019-04-03,1037
2019-04-04,860
2019-04-05,732
2019-04-06,182
2019-04-07,393
2019-04-08,696
2019-04-09,698
2019-04-10,917
2019-04-11,757
2019-04-12,859
2019-04-13,254
2019-04-14,282
2019-04-15,767
2019-04-16,960
2019-04-17,550
2019-04-18,647
2019-04-19,592
2019-04-20,268
2019-04-21,434
2019-04-22,590
2019-04-23,837
2019-04-24,1016
2019-04-25,944
2019-04-26,749
2019-04-27,225
2019-04-28,387
2019-04-29,777
2019-04-30,870
2019-05-01,522
2019-05-02,1011
2019-05-03,597
2019-05-04,394
2019-05-05,303
2019-05-06,688
2019-05-07,592
2019-05-08,561
2019-05-09,557
2019-05-10,745
2019-05-11,626
2019-05-12,410
2019-05-13,768
