Day,Count
2020-01-01,181
2020-01-02,126
2020-01-03,175
2020-01-04,155
2020-01-05,180
2020-01-06,189
2020-01-07,148
2020-01-08,231
2020-01-09,192
2020-01-10,172
2020-01-11,246
2020-01-12,2652
2020-01-13,245
2020-01-14,563
2020-01-15,363
2020-01-16,301
2020-01-17,219
2020-01-18,172
2020-01-19,148
2020-01-20,129
2020-01-21,102
2020-01-22,136
2020-01-23,131
2020-01-24,207
2020-01-25,341
2020-01-26,225
2020-01-27,254
2020-01-28,549
2020-01-29,490
2020-01-30,393
2020-01-31,343
2020-02-01,360
2020-02-02,280
2020-02-03,408
2020-02-04,279
2020-02-05,400
2020-02-06,338
2020-02-07,445
2020-02-08,367
2020-02-09,511
2020-02-10,422
2020-02-11,345
2020-02-12,994
2020-02-13,626
2020-02-14,407
2020-02-15,507
2020-02-16,247
2020-02-17,296
2020-02-18,570
2020-02-19,289
2020-02-20,1004
2020-02-21,1875
2020-02-22,331
2020-02-23,468
2020-02-24,449
2020-02-25,491
2020-02-26,325
2020-02-27,320
2020-02-28,307
2020-03-01,262
2020-03-02,300
2020-03-03,258
2020-03-04,396
2020-03-05,311
2020-03-06,246
2020-03-07,2305
2020-03-08,255
2020-03-09,603
2020-03-10,365
2020-03-11,338
2020-03-12,459
2020-03-13,424
2020-03-14,371
2020-03-15,232
2020-03-16,206
2020-03-17,260
2020-03-18,295
2020-03-19,625
2020-03-20,289
2020-03-21,299
2020-03-22,317
2020-03-23,552
2020-03-24,294
2020-03-25,260
2020-03-26,270
2020-03-27,681
2020-03-28,660
2020-03-29,237
2020-03-30,314
2020-03-31,2700
2020-04-01,253
2020-04-02,286
2020-04-03,288
2020-04-04,258
2020-04-05,259
2020-04-06,344
2020-04-07,384
2020-04-08,1132
2020-04-09,1277
2020-04-10,501
2020-04-11,1364
2020-04-12,978
2020-04-13,426
2020-04-14,548
2020-04-15,377
2020-04-16,302
2020-04-17,305
2020-04-18,298
2020-04-19,241
2020-04-20,255
2020-04-21,520
2020-04-22,393
2020-04-23,306
2020-04-24,248
2020-04-25,291
2020-04-26,262
2020-04-27,364
2020-04-28,612
2020-04-29,1053
2020-04-30,477
2020-05-01,325
2020-05-02,287
2020-05-03,363
2020-05-04,287
2020-05-05,369
2020-05-06,323
2020-05-07,553
2020-05-08,368
2020-05-09,314
2020-05-10,331
2020-05-11,525
2020-05-12,1026
2020-05-13,436
2020-05-14,337
2020-05-15,516
2020-05-16,375
2020-05-17,577
2020-05-18,485
2020-05-19,309
2020-05-20,92
2020-05-21,403
2020-05-22,545
2020-05-23,444
2020-05-24,480
2020-05-25,394
2020-05-26,462
2020-05-27,416
2020-05-28,568
2020-05-29,484
2020-05-30,451
2020-05-31,2512
2020-06-01,647
2020-06-02,905
2020-06-03,504
2020-06-04,937
2020-06-05,426
2020-06-06,398
2020-06-07,557
2020-06-08,494
2020-06-09,669
2020-06-10,451
2020-06-11,687
2020-06-12,546
2020-06-13,443
2020-06-14,401
2020-06-15,526
2020-06-16,1193
2020-06-17,719
2020-06-18,367
2020-06-19,694
2020-06-20,376
2020-06-21,345
2020-06-22,503
2020-06-23,553
2020-06-24,763
2020-06-25,610
2020-06-26,999
2020-06-27,1607
2020-06-28,341
2020-06-29,387
2020-06-30,311
2020-07-01,1540
2020-07-02,665
2020-07-03,447
2020-07-04,516
2020-07-05,845
2020-07-06,928
2020-07-07,756
2020-07-08,814
2020-07-09,1175
2020-07-10,1210
2020-07-11,513
2020-07-12,1162
2020-07-13,864
2020-07-14,556
2020-07-15,1046
2020-07-16,640
2020-07-17,859
2020-07-18,996
2020-07-19,884
2020-07-20,657
2020-07-21,785
2020-07-22,727
2020-07-23,695
2020-07-24,735
2020-07-25,435
2020-07-26,749
2020-07-27,983
2020-07-28,1448
2020-07-29,809
2020-07-30,894
2020-07-31,976
2020-08-01,1069
2020-08-02,530
2020-08-03,656
2020-08-04,1816
2020-08-05,553
2020-08-06,530
2020-08-07,520
2020-08-08,643
2020-08-09,442
2020-08-10,752
2020-08-11,638
2020-08-12,998
2020-08-13,584
2020-08-14,603
2020-08-15,803
2020-08-16,517
2020-08-17,932
2020-08-18,732
2020-08-19,732
2020-08-20,634
2020-08-21,761
2020-08-22,799
2020-08-23,586
2020-08-24,636
2020-08-25,417
2020-08-26,520
2020-08-27,521
2020-08-28,243
2020-08-29,742
2020-08-30,456
2020-08-31,407
2020-09-01,622
2020-09-02,4260
2020-09-03,663
2020-09-04,649
2020-09-05,827
2020-09-06,432
2020-09-07,1751
2020-09-08,1308
2020-09-09,852
2020-09-10,866
2020-09-11,886
2020-09-12,623
2020-09-13,553
2020-09-14,542
2020-09-15,1060
2020-09-16,948
2020-09-17,556
2020-09-18,1410
2020-09-19,639
2020-09-20,439
2020-09-21,892
2020-09-22,940
2020-09-23,616
2020-09-24,915
2020-09-25,1020
2020-09-26,1083
2020-09-27,1615
2020-09-28,900
2020-09-29,694
2020-09-30,536
2020-10-01,428
2020-10-02,4650
2020-10-03,362
2020-10-04,382
2020-10-05,597
2020-10-06,508
2020-10-07,4613
2020-10-08,1157
2020-10-09,2650
2020-10-10,924
2020-10-11,2013
2020-10-12,579
2020-10-13,830
2020-10-14,782
2020-10-15,1763
2020-10-16,849
2020-10-17,1508
2020-10-18,2515
2020-10-19,2018
2020-10-20,1747
2020-10-21,1870
2020-10-22,1848
2020-10-23,1928
2020-10-24,830
2020-10-25,996
2020-10-26,549
2020-10-27,744
2020-10-28,899
2020-10-29,971
2020-10-30,540
2020-10-31,769
2020-11-01,556
2020-11-02,605
2020-11-03,620
2020-11-04,1228
2020-11-05,737
2020-11-06,434
2020-11-07,525
2020-11-08,724
2020-11-09,345
2020-11-10,454
2020-11-11,749
2020-11-12,993
2020-11-13,910
2020-11-14,827
2020-11-15,642
2020-11-16,491
2020-11-17,536
2020-11-18,741
2020-11-19,928
2020-11-20,786
2020-11-21,1054
2020-11-22,919
2020-11-23,662
