Day,Count
2021-01-01,5
2021-01-02,17
2021-01-03,5
2021-01-04,7
2021-01-05,9
2021-01-06,10
2021-01-07,7
2021-01-08,15
2021-01-09,2
2021-01-10,4
2021-01-11,8
2021-01-12,6
2021-01-13,8
2021-01-14,6
2021-01-15,12
2021-01-16,1
2021-01-17,11
2021-01-18,15
2021-01-19,15
2021-01-20,10
2021-01-21,15
2021-01-22,13
2021-01-23,8
2021-01-24,7
2021-01-25,10
2021-01-26,16
2021-01-27,10
2021-01-28,6
2021-01-29,10
2021-01-30,1
2021-01-31,0
2021-02-01,4
2021-02-02,4
2021-02-03,4
2021-02-04,15
2021-02-05,10
2021-02-06,5
2021-02-07,1
2021-02-08,7
2021-02-09,28
2021-02-10,12
2021-02-11,20
2021-02-12,10
2021-02-13,4
2021-02-14,5
2021-02-15,11
2021-02-16,9
2021-02-17,15
2021-02-18,8
2021-02-19,4
2021-02-20,4
2021-02-21,3
2021-02-22,13
2021-02-23,8
2021-02-24,17
2021-02-25,13
2021-02-26,4
2021-02-27,2
2021-02-28,5
2021-03-01,13
2021-03-02,7
2021-03-03,19
2021-03-04,17
2021-03-05,28
2021-03-06,9
2021-03-07,5
2021-03-08,18
2021-03-09,13
2021-03-10,15
2021-03-11,12
2021-03-12,6
2021-03-13,3
2021-03-14,5
2021-03-15,17
2021-03-16,15
2021-03-17,11
2021-03-18,8
2021-03-19,15
2021-03-20,3
2021-03-21,6
2021-03-22,16
2021-03-23,4
2021-03-24,6
2021-03-25,6
2021-03-26,2
2021-03-27,2
2021-03-28,0
2021-03-29,7
2021-03-30,15
2021-03-31,7
2021-04-01,4
2021-04-02,8
2021-04-03,1
2021-04-04,2
2021-04-05,3
2021-04-06,5
2021-04-07,12
2021-04-08,3
2021-04-09,8
2021-04-10,3
2021-04-11,6
2021-04-12,7
2021-04-13,7
2021-04-14,11
2021-04-15,18
2021-04-16,12
2021-04-17,3
2021-04-18,6
2021-04-19,14
2021-04-20,8
2021-04-21,13
2021-04-22,10
2021-04-23,12
2021-04-24,0
2021-04-25,7
2021-04-26,5
